animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
223,6632661,US DD1714,314,2026-04-01,50.5,354,16.43,0.25,0,3,1.63,112,0,0.44,Voice Agent Report Historical 4.2.1.csv
224,6642406,US DD1716,10,2026-04-01,66.1,520,14.4,0.19,0,3,1.03,206,0,11.68,Voice Agent Report Historical 4.2.1.csv
226,6634736,US DD1739,305,2026-04-01,40.3,502,11.85,0.15,0,3,1.4,,4,-3.75,Voice Agent Report Historical 4.2.1.csv
227,6632644,US DD1723,375,2026-04-01,87.1,358,21.01,0.33,0,5,1.5,1067,3,-12.57,Voice Agent Report Historical 4.2.1.csv
231,6635053,US DD1834,210,2026-04-01,27.3,428,9.29,0.61,0,2,1.42,,0,-0.88,Voice Agent Report Historical 4.2.1.csv
232,6632637,US DD1792,150,2026-04-01,104.1,490,20,0.8,0,3,1.45,40,2,-4.85,Voice Agent Report Historical 4.2.1.csv
233,6634664,US DD1793,317,2026-04-01,67.7,520,6.63,5.94,0,1,1.31,,0,-3.75,Voice Agent Report Historical 4.2.1.csv
234,6635136,DD1496,190,2026-04-01,90.6,575,15.18,0.32,0,4,1.27,63,15,-1.76,Voice Agent Report Historical 4.2.1.csv
235,6633202,US DD1795,196,2026-04-01,110,559,18.13,0.35,0,3,1.23,,0,-4.41,Voice Agent Report Historical 4.2.1.csv
236,6632625,US DD1722,19,2026-04-01,63.5,523,12.63,0.33,1,3,1.05,,5,6.83,Voice Agent Report Historical 4.2.1.csv
237,6635029,US DD1797,376,2026-04-01,,463,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
238,6634733,US DD1798,206,2026-04-01,75.8,458,11.49,0.29,0,3,1.29,,10,1.32,Voice Agent Report Historical 4.2.1.csv
239,6641905,US DD1799,43,2026-04-01,133.6,586,16.19,0.4,0,3,1.16,,0,-1.54,Voice Agent Report Historical 4.2.1.csv
240,6633288,US DD1800,348,2026-04-01,22.5,427,5.01,5.07,0,1,1.44,,1,-3.31,Voice Agent Report Historical 4.2.1.csv
241,6634711,US DD1801,389,2026-04-01,49.6,496,11.92,0.64,0,2,1.39,,0,-1.54,Voice Agent Report Historical 4.2.1.csv
