"","","Attention","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category"
"58","3086115","Conductivity LF<br/>","90    <br/>","<span style='width:31%'class='severnesslinebar'></span><br/>","","","Acute Mastitis (acute catarrhal mastitis)","V"
"59","3087697","","","","","","Dryoff","V"
"37","3087451","","","","","","Female infertility","V"
"164","3542845","Fat Protein Ratio<br/>","1.43  <br/>","<span style='width:0%'class='severnesslinebar'></span><br/>","","","Dryoff","I"
"89","3087349","","","","","","Female infertility","V"
"1304","","","","","","","Female infertility",""
"1305","","","","","","","",""
"117","3087338","Fat Protein Ratio<br/>","1.01  <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","","I"
"1307","","","","","","","Female infertility",""
"1308","","","","","","","Female infertility",""
"1309","","","","","","","",""
"1310","","","","","","","",""
"1311","","","","","","","Behavioral disorders and general findings",""
"1312","","","","","","","",""
"1313","","","","","","","",""
"1314","","","","","","","",""
"215","6641856","Milk Temperature<br/>Fat Protein Ratio<br/>","104.0  <br/>1.06  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>","","","Mastitis vaccination","I"
"1316","","","","","","","",""
"1317","","","","","","","",""
"1318","","","","","","","",""
"1319","","","","","","","",""
"238","6634733","","","","","","Metritis","IV"
"232","6632637","Milk Drop<br/>","-10.5  <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","Female infertility","III"
"243","6633246","Conductivity RF<br/>","96    <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","Metabolic diseases other","III"
"239","6641905","","","","","","BRSV vaccination","I"
"235","6633202","","","","","","Female infertility","IV"
"240","6633288","","","","","","Female infertility","V"
"241","6634711","","","","","","BRSV vaccination","V"
"237","6635029","","","","","","Dryoff","V"
"1320","","","","","","","",""
"233","6634664","","","","","","Female infertility","V"
"1321","","","","","","","",""
"1322","","","","","","","",""
"244","6632803","Conductivity LF<br/>","108   <br/>","<span style='width:37%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"245","6634963","","","","","","Dryoff","III"
"1323","3543443","","","","","","Female infertility",""
"1324","","","","","","","",""
"1325","","","","","","","",""
"248","6635044","","","","","","Acute Mastitis (acute catarrhal mastitis)","V"
"253","6634702","","","","","","Female infertility","V"
"136","3087368","","","","","","Female infertility","IV"
"260","6634655","","","","","","BRSV vaccination","III"
"256","6634673","","","","","","Female infertility","III"
"261","6634657","","","","","","BRSV vaccination","III"
"258","6641953","Activity(rumination)<br/>","88    <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","Vaccinations","V"
"1326","","","","","","","",""
"1327","","","","","","","",""
"1328","","","","","","","",""
"231","6635053","Conductivity RR<br/>Mastitis RR<br/>","142   <br/> <br/>","<span style='width:81%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>","x","","Female infertility","IV"
"221","6635124","","","","","","BRSV vaccination","IV"
"1329","","","","","","","",""
"1331","","","","","","","",""
"1330","","","","","","","",""
"1332","","","","","","","",""
"787","3184144","Conductivity LR<br/>","83    <br/>","<span style='width:0%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"1335","","","","","","","",""
"1336","","","","","","","",""
"1337","","","","","","","",""
"1338","","","","","","","",""
"1339","","","","","","","",""
"1340","","","","","","","",""
"1341","","","","","","","",""
"1342","","","","","","","",""
"1343","","","","","","","",""
"1345","","","","","","","",""
"1344","","","","","","","",""
"1347","","","","","","","",""
"1346","","","","","","","",""
"1348","","","","","","","",""
"1349","","","","","","","",""
"1350","","","","","","","",""
"1351","","","","","","","",""
"1353","","","","","","","",""
"1354","","","","","","","",""
"270","6642008","Milk Drop<br/>","-11.0  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","III"
"1355","","","","","","","",""
"1356","","","","","","","",""
"1357","","","","","","","",""
"1358","","","","","","","",""
"1359","","","","","","","",""
"1360","","","","","","","",""
"1361","","","","","","","",""
"1362","","","","","","","",""
"1363","","","","","","","",""
"1364","","","","","","","",""
"1365","","","","","","","",""
"1366","","","","","","","",""
"1367","","","","","","","",""
"1368","","","","","","","",""
"1369","","","","","","","",""
"1370","","","","","","","",""
"1371","","","","","","","",""
"1373","","","","","","","",""
"1374","","","","","","","",""
"1375","","","","","","","",""
"1376","","","","","","","",""
"1378","","","","","","","",""
"1379","","","","","","","",""
"1380","","","","","","","",""
"1381","","","","","","","",""
"20042","","","","","","","",""
"1382","","","","","","","",""
"1383","","","","","","","",""
"1384","","","","","","","",""
"1385","","","","","","","",""
"1386","","","","","","","",""
