"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.0","26.5","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"222","","","DD1455","2","241","74.7","Inseminated","CHAROLAIS BLEND 4","2026-02-26","","","","","In Lactation","","15.9","74.7","0","x","","2025-08-15","6632589"
"73","","","DD1328","3","202","67.9","Inseminated","SAVYSTRIDE","2026-04-02","","","","","In Lactation","","20.7","67.9","0","x","","2025-09-23","3542905"
"1081","","","DD1459","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-02-27",""
"14","","","DD1332","4","206","68.1","Pregnant","LUCKYCHARM SEXED","2025-12-15","","119","101","2026-09-21","In Lactation","","23.8","68.1","0","x","","2025-09-19","3087979"
"118","","","US DD1456","2","335","78.5","Pregnant","","2025-11-28","","136","84","2026-09-04","In Lactation","","19.6","78.5","3","x","","2025-05-13","3087755"
"45","","","DD1462","2","338","","Pregnant","GAMEREADY SEXED","2025-07-23","","264","","2026-04-29","Dry Off","","7.5","","0","x","","2025-05-10","3086129"
"143","","","DD1467","2","242","80.7","Inseminated","ANGUS BLEND 17","2026-03-19","","","","","In Lactation","","28.2","80.7","1","x","","2025-08-14","3183515"
"199","","","DD1470","2","210","95.2","Pregnant","POWERHOUSE -SEXED","2025-12-16","","118","102","2026-09-22","In Lactation","","37.7","95.2","0","x","","2025-09-15","6633146"
"23","","","DD1471","1","370","43.4","Pregnant","GIANT","2025-09-23","","202","18","2026-06-30","In Lactation","","21.2","43.4","0","x","","2025-04-08","3087231"
"69","","","DD1473","2","326","78.3","Pregnant","ANGUS BLEND 17","2025-12-08","","126","94","2026-09-14","In Lactation","","26.0","78.3","0","x","","2025-05-22","3087141"
"127","","","DD1474","2","208","50.3","Inseminated","ANGUS BLEND 17","2026-03-30","","","","","In Lactation","","27.3","50.3","0","x","","2025-09-17","3086217"
"94","","","DD1476","2","199","69.2","Inseminated","SAVYSTRIDE","2026-04-02","","","","","In Lactation","","22.0","69.2","0","x","","2025-09-26","3087594"
"26","","","DD1478","2","248","70.1","Pregnant","ANGUS BLEND 17","2025-10-31","","164","56","2026-08-07","In Lactation","","26.5","70.1","0","x","","2025-08-08","3087118"
"108","","","DD1479","2","240","91.0","Pregnant","BOLDNESS SEXED","2025-12-23","","111","109","2026-09-29","In Lactation","","33.3","91.0","0","x","","2025-08-16","3542732"
"202","","","DD1480","2","107","68.3","Open Cyclic","","","x","","","","In Lactation","","26.9","68.3","0","x","","2025-12-27","3087167"
"152","","","DD1484","2","91","83.3","Inseminated","MITCHELL sexed","2026-03-19","","","","","In Lactation","","27.8","83.3","0","x","","2026-01-12","3353711"
"1108","","","DD1485","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-06-11",""
"124","","","DD1486","2","224","63.5","Pregnant","SAVYSTRIDE","2025-11-27","","137","83","2026-09-03","In Lactation","","18.3","63.5","0","x","","2025-09-01","3087250"
"49","","","DD1488","1","370","","Pregnant","GAMEREADY SEXED","2025-07-15","","272","","2026-04-21","Dry Off","","32.8","","0","x","","2025-04-08","3086283"
"142","","","DD1376","3","539","","Pregnant","CHAROLAIS BLEND 4","2025-08-05","","251","","2026-05-12","Dry Off","","19.6","","2","x","","2024-10-21","3086184"
"97","","","DD1373","3","484","","Pregnant","ANGUS BLEND 17","2025-10-08","","187","","2026-07-15","Dry Off","","6.2","","89","x","","2024-12-15","3088051"
"40","","","DD1397","4","141","85.3","Open Cyclic","","","","","","","In Lactation","","32.8","85.3","0","x","","2025-11-23","3087510"
"116","","","DD1407","3","380","","Pregnant","GAMEREADY SEXED","2025-07-15","","272","","2026-04-21","Dry Off","","11.5","","0","x","","2025-03-29","3086998"
"35","","","DD1400","3","385","","Pregnant","darkmatter sexed","2025-07-24","","263","","2026-04-30","Dry Off","","19.2","","0","x","","2025-03-24","3087215"
"133","","","DD1374","4","234","64.2","Inseminated","CHAROLAIS BLEND 4","2026-02-24","","","","","In Lactation","","28.7","64.2","0","x","","2025-08-22","3087396"
"28","","","DD1380","4","162","54.5","Open Cyclic","","","","","","","In Lactation","","19.4","54.5","0","x","","2025-11-02","3087460"
"91","","","US DD1396","3","460","51.4","Pregnant","ANGUS BLEND 17","2025-11-07","","157","63","2026-08-14","In Lactation","","16.1","51.4","2","x","","2025-01-08","3087334"
"151","","","DD1489","","","0.0","Inseminated","POWERHOUSE -SEXED","2025-12-19","","","","","Young Stock","","","0.0","0","","","2022-07-08","3086706"
"24","","","DD1490","2","129","76.1","Inseminated","ANGUS BLEND 17","2026-03-17","","","","","In Lactation","","18.7","76.1","0","x","","2025-12-05","3086116"
"95","","","DD1493","2","285","58.0","Pregnant","BOLDNESS SEXED","2025-09-24","","201","19","2026-07-01","In Lactation","","23.4","58.0","1","x","","2025-07-02","3086498"
"32","","","DD1494","2","112","94.8","Inseminated","SAVYSTRIDE","2026-02-28","x","","","","In Lactation","","32.6","94.8","0","x","","2025-12-22","3087545"
"47","","","DD1495","2","51","127.6","Open","","","","","","","In Lactation","","24.7","127.6","0","x","","2026-02-21","3087308"
