"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.1","27.1","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"90","","","DD1599","1","7","39.9","Open","","","","","","","In Lactation","","21.2","39.9","0","x","","2026-03-31","3087156"
"255","","","US DD1603","1","139","64.4","Open","","","x","","","","In Lactation","","22.5","64.4","0","x","","2025-11-19","6635055"
"147","","","US DD1604","2","613","35.5","Pregnant","ANGUS BLEND 17","2025-12-06","","122","98","2026-09-12","In Lactation","","12.6","35.5","0","x","","2024-08-02","3086154"
"1226","","","US DD1605","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-24",""
"156","","","US DD1607","3","234","76.7","Inseminated","POWERHOUSE -SEXED","2026-02-09","","","","","In Lactation","","19.2","76.7","0","x","","2025-08-16","3085889"
"86","","","US DD1610","1","284","44.8","Pregnant","SMITTEN SEXED","2025-09-08","","211","9","2026-06-15","In Lactation","","21.2","44.8","0","x","","2025-06-27","3087212"
"109","","","US DD1611","1","247","52.2","Inseminated","ANGUS BLEND 17","2026-03-27","","","","","In Lactation","","18.3","52.2","1","x","","2025-08-03","3353222"
"1230","","","US DD1614","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-07-05",""
"252","","","US DD1617","1","13","69.7","Open","","","","","","","In Lactation","","17.2","69.7","0","x","","2026-03-25","6641942"
"1234","","","US DD1619","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-07-30",""
"1236","","","US DD1621","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-14",""
"1237","","","US DD1622","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-19",""
"1238","","","US DD1623","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-22",""
"64","","","US DD1624","1","3","23.4","Open","","","","","","","In Lactation","x","2.0","23.4","0","x","","2026-04-04","3087236"
"1242","","","US DD1630","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","249","","2026-05-08","Young Stock","","","0.0","","","","2023-08-28",""
"1243","","","US DD1629","","","0.0","Pregnant","Anderson Bull 3-25-2025","2026-01-24","","73","","2026-10-31","Young Stock","","","0.0","","","","2023-08-30",""
"1245","","","US DD1633","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-11","","239","","2026-05-18","Young Stock","","","0.0","","","","2023-09-07",""
"204","","","US DD1634","1","8","49.2","Open","","","","","","","In Lactation","","27.1","49.2","0","x","","2026-03-30","5925507"
